Country,Region-Geo,Continent,Region,Year,IncomePerPerson,LifeExpectancy,PopulationTotal
Andorra,Europe - Southern,Europe,Europe & Central Asia,1956,57610.15895,,9964
Angola,Africa - Central,Africa,Sub-Saharan Africa,1956,10647.10603,31.396,4624143
Anguilla,America - Central,Central and South America,America,1956,12161.14124,,5743
Antigua and Barbuda,America - Central,Central and South America,America,1956,8440.805856,60.243,53061
Argentina,America - South,Central and South America,America,1956,19890.1032,64.11,19276813
Armenia,Asia - Western,Asia,Europe & Central Asia,1956,5076.045308,64.285,1619242
Aruba,America - Central,Central and South America,America,1956,9028.40936,63.424,45935
Australia,Oceania,Oceania,East Asia & Pacific,1956,32922.3851,70.05,9419635
Austria,Europe - Western,Europe,Europe & Central Asia,1956,25045.34839,67.72,6954658
Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1956,5229.074915,59.394,3429548
Bahamas,America - Central,Central and South America,America,1956,20055.89966,61.434,91890
Bahrain,Asia - Western,Asia,Middle East & North Africa,1956,22616.61272,46.675,138929
Bangladesh,Asia - Southern,Asia,South Asia,1956,1375.721708,44.984,44644395
Barbados,America - Central,Central and South America,America,1956,8730.798327,59.062,228265
Belarus,Europe - Eastern,Europe,Europe & Central Asia,1956,5852.267174,67.357,7865511
Belgium,Europe - Western,Europe,Europe & Central Asia,1956,19058.80719,68.87,8922420
Belize,America - Central,Central and South America,America,1956,3624.531355,57.829,82294
Benin,Africa - Western,Africa,Sub-Saharan Africa,1956,1960.126952,35.424,2320433
Bermuda,America - North,North America,America,1956,42149.553,,41426
Bhutan,Asia - Southern,Asia,South Asia,1956,1452.094549,30.823,203054
Bolivia,America - South,Central and South America,America,1956,4498.372182,41.447,3073070
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1956,2341.515806,57.2,2994194
Botswana,America - South,Africa,Sub-Saharan Africa,1956,1811.816667,49.09,479998
Brazil,America - South,Central and South America,America,1956,4753.002521,52.725,64748101
British Virgin Islands,America - Central,Central and South America,America,1956,4889.404857,,7706
Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1956,78078.87084,59.989,66348
Bulgaria,Europe - Eastern,Europe,Europe & Central Asia,1956,5494.755859,65.21,7568951
Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1956,1203.975764,32.591,4597951
Burundi,Africa - Eastern,Africa,Sub-Saharan Africa,1956,744.0092503,40.081,2734574
Cambodia,Asia - South Eastern,Asia,East Asia & Pacific,1956,1996.074324,40.835,4945074
Cameroon,Africa - Central,Africa,Sub-Saharan Africa,1956,2568.778961,39.84,4994394
Canada,America - North,North America,America,1956,25111.09893,70.04,16174093
Cayman Islands,America - Central,Central and South America,America,1956,23145.80044,,7015
Central African Republic,America - Central,Central and South America,Sub-Saharan Africa,1956,2334.533301,34.87,1417223
Chad,Africa - Central,Africa,Sub-Saharan Africa,1956,2563.980837,36.966,2724017
Channel Islands,Europe - Northern,Europe,Europe & Central Asia,1956,,70.19,106226
Chile,America - South,Central and South America,America,1956,8009.044116,55.715,6931486
China,Asia - Eastern,Asia,East Asia & Pacific,1956,1430.987025,50.44528,618226224
Colombia,America - South,Central and South America,America,1956,4642.0365,54.041,14229713
Comoros,Africa - Eastern,Africa,Sub-Saharan Africa,1956,2386.226286,41.91,178791
Cook Islands,Oceania,Oceania,East Asia & Pacific,1956,,,
Costa Rica,America - Central,Central and South America,America,1956,5719.750225,59.28,1166887
Cote d'Ivoire,Africa - Western,Africa,Sub-Saharan Africa,1956,2956.013649,34.134,3172308
Croatia,Europe - Southern,Europe,Europe & Central Asia,1956,7502.303621,62.97,3984346
Cuba,America - Central,Central and South America,America,1956,10858.47901,61.457,6646398
Cyprus,Asia - Western,Asia,Europe & Central Asia,1956,7365.209227,68.18,539596
Czech Republic,Europe - Eastern,Europe,Europe & Central Asia,1956,15711.16251,69.37,9317119
Denmark,Europe - Northern,Europe,Europe & Central Asia,1956,19430.24665,72.05,4466552
Djibouti,Africa - Eastern,Africa,Middle East & North Africa,1956,5673.685422,42.331,72203
Dominica,America - Central,Central and South America,America,1956,4694.300896,,55545
Dominican Republic,America - Central,Central and South America,America,1956,3003.30513,48.751,2890455
East Germany,Europe - Eastern,Europe,Europe & Central Asia,1956,,,
Ecuador,America - South,Central and South America,America,1956,7435.660243,50.467,3967916
Egypt,Africa - Northern,Africa,Middle East & North Africa,1956,2853.14296,45.096,25086028
El Salvador,America - Central,Central and South America,America,1956,6693.187904,48.108,2489824
Equatorial Guinea,Africa - Central,Africa,Sub-Saharan Africa,1956,836.6870739,35.536,239826
Eritrea,Africa - Eastern,Africa,Middle East & North Africa,1956,706.286072,36.527,1292970
Eritrea and Ethiopia,Africa - Eastern,Africa,Middle East & North Africa,1956,,,23915607
Estonia,Europe - Northern,Europe,Europe & Central Asia,1956,9785.792263,67.039,1170514
Ethiopia,Africa - Eastern,Africa,Sub-Saharan Africa,1956,777.5838758,35.807,20706078
Faeroe Islands,Europe - Northern,Europe,Europe & Central Asia,1956,,,32299
Falkland Islands (Malvinas),Europe - Northern,Europe,America,1956,,,
Fiji,Oceania,Oceania,East Asia & Pacific,1956,3689.953806,54.018,345732
Finland,Europe - Northern,Europe,Europe & Central Asia,1956,14555.56832,67.99,4278702
France,Europe - Western,Europe,Europe & Central Asia,1956,17572.61577,68.5,43831475
French Guiana,America - South,Central and South America,America,1956,6809.059752,55.217,29136
French Polynesia,Oceania,Oceania,East Asia & Pacific,1956,18702.7647,53.55,71167
Gabon,Africa - Central,Africa,Sub-Saharan Africa,1956,9667.262212,38.433,477456
Gambia,Africa - Western,Africa,Sub-Saharan Africa,1956,1030.914681,31.131,319468
Georgia,Asia - Western,Asia,Europe & Central Asia,1956,4199.779512,62.046,3903604
Germany,Europe - Western,Europe,Europe & Central Asia,1956,19385.21687,68.678,70769436
Ghana,Africa - Western,Africa,Sub-Saharan Africa,1956,2078.237914,43.956,5943367
Gibraltar,Europe - Southern,Europe,Europe & Central Asia,1956,,,21065
Greece,Europe - Southern,Europe,Europe & Central Asia,1956,8667.28374,66.655,8046802
Greenland,America - North,North America,America,1956,14017.42342,,27477
Grenada,America - Central,Central and South America,America,1956,3026.489745,58.186,82778
